genes,signedlogP
Oarb_101063_c0_g1,0.180845072932421
Oarb_101066_c0_g1,0.546286140400278
Oarb_101069_c1_g1,1.48975087722248
Oarb_101077_c0_g1,-2.29991834780952
Oarb_101079_c1_g1,-1.67238210527376
Oarb_101085_c1_g2,1.84311491348091
Oarb_101089_c0_g1,2.63153441671178
Oarb_101108_c0_g1,-2.10333877900147
Oarb_101110_c0_g1,-0.940576622971092
Oarb_101111_c0_g2,1.17638451885693
Oarb_101117_c2_g1,1.87548405999109
Oarb_101119_c0_g1,-1.10143980934729
Oarb_101124_c0_g1,0.366208425582141
Oarb_101132_c1_g1,-1.31753164084661
Oarb_101141_c0_g1,-0.51864001786022
Oarb_101155_c1_g1,1.68148124944327
Oarb_101155_c2_g1,0.824167908391247
Oarb_101157_c0_g2,-0.400540745398781
Oarb_101158_c1_g1,-1.87393256586498
Oarb_101161_c1_g1,-0.125567106503939
Oarb_101164_c0_g1,0.300200728279758
Oarb_101166_c0_g1,0.662285079296136
Oarb_101171_c0_g1,0.744511663818466
Oarb_101185_c0_g1,0.345858761654373
Oarb_101192_c0_g1,0.0470734399677535
Oarb_101196_c0_g1,1.09656978785711
Oarb_101202_c0_g1,1.91697905983713
Oarb_101204_c0_g1,-0.178851394670584
Oarb_101220_c0_g1,1.02443209501786
Oarb_101222_c0_g1,0.424604314205736
Oarb_101223_c0_g1,-0.856582719312783
Oarb_101225_c0_g1,-0.455553804761658
Oarb_101227_c2_g1,0.0784184913244954
Oarb_101227_c3_g1,-0.906152146646334
Oarb_101228_c1_g1,-0.768867870960522
Oarb_101228_c1_g2,-0.897454692031929
Oarb_101248_c1_g1,0.871760183968883
Oarb_101258_c0_g1,0.251430365972245
Oarb_101268_c0_g1,1.95772238050037
Oarb_101279_c4_g1,-0.122922358002462
Oarb_101285_c0_g1,0.584994245645763
Oarb_101292_c0_g1,0.656020190872313
Oarb_101296_c0_g1,-0.0054083921124598
Oarb_101298_c0_g1,1.67971139446831
Oarb_101302_c0_g1,0.379727574289212
Oarb_101306_c0_g1,0.0191463121204149
Oarb_101307_c0_g2,0.467487704594774
Oarb_101308_c6_g1,0.00814160830243209
Oarb_101334_c2_g1,-0.619800054424538
Oarb_101337_c0_g1,0.197879861548986
Oarb_101353_c1_g1,0.401325003896459
Oarb_101360_c0_g1,0.403941876416499
